Strain,Biolector well,Biolector column,Biolector row,Cycle,Time,Feeding time,Volume,Accum. feed [uL],Biomass concentration [light scatter],DO%,Sample volume
Yeast_strain_2,F03,03,F,147.0,14.702799797058104,0.3999996185302734,800.64,0.64,4.019999980926514,147.5399932861328,0.0
Yeast_strain_2,F04,04,F,147.0,14.702799797058104,0.3999996185302734,800.64,0.64,3.549999952316284,148.1300048828125,0.0
Yeast_strain_3,F05,05,F,147.0,14.702799797058104,0.3999996185302734,800.64,0.64,3.839999914169312,147.89999389648438,0.0
Yeast_strain_3,F06,06,F,147.0,14.702799797058104,0.3999996185302734,800.64,0.64,3.400000095367432,147.72999572753906,0.0
Yeast_strain_1,C01,01,C,148.0,14.802800178527832,0.5,800.8,0.8,2.950000047683716,147.77999877929688,0.0
Yeast_strain_1,C02,02,C,148.0,14.802800178527832,0.5,800.8,0.8,2.809999942779541,148.2100067138672,0.0
Yeast_strain_2,C03,03,C,148.0,14.802800178527832,0.5,800.8,0.8,3.049999952316284,148.2100067138672,0.0
Yeast_strain_2,C04,04,C,148.0,14.802800178527832,0.5,800.8,0.8,3.0,147.7100067138672,0.0
Yeast_strain_3,C05,05,C,148.0,14.802800178527832,0.5,800.8,0.8,3.059999942779541,147.85000610351562,0.0
Yeast_strain_3,C06,06,C,148.0,14.802800178527832,0.5,800.8,0.8,3.009999990463257,148.0,0.0
Yeast_strain_1,D01,01,D,148.0,14.802800178527832,0.5,800.8,0.8,3.150000095367432,148.5399932861328,0.0
Yeast_strain_1,D02,02,D,148.0,14.802800178527832,0.5,800.8,0.8,3.1600000858306885,147.74000549316406,0.0
Yeast_strain_2,D03,03,D,148.0,14.802800178527832,0.5,800.8,0.8,3.1700000762939453,147.97000122070312,0.0
Yeast_strain_2,D04,04,D,148.0,14.802800178527832,0.5,800.8,0.8,3.259999990463257,147.75,0.0
Yeast_strain_3,D05,05,D,148.0,14.802800178527832,0.5,800.8,0.8,3.390000104904175,147.41000366210938,0.0
Yeast_strain_3,D06,06,D,148.0,14.802800178527832,0.5,800.8,0.8,3.5199999809265137,144.4600067138672,0.0
Yeast_strain_1,E01,01,E,148.0,14.802800178527832,0.5,800.8,0.8,3.630000114440918,148.30999755859375,0.0
Yeast_strain_1,E02,02,E,148.0,14.802800178527832,0.5,800.8,0.8,3.440000057220459,148.55999755859375,0.0
Yeast_strain_2,E03,03,E,148.0,14.802800178527832,0.5,800.8,0.8,3.619999885559082,146.33999633789062,0.0
Yeast_strain_2,E04,04,E,148.0,14.802800178527832,0.5,800.8,0.8,3.609999895095825,148.27999877929688,0.0
Yeast_strain_3,E05,05,E,148.0,14.802800178527832,0.5,800.8,0.8,3.7100000381469727,148.0399932861328,0.0
Yeast_strain_3,E06,06,E,148.0,14.802800178527832,0.5,800.8,0.8,3.759999990463257,147.27999877929688,0.0
Yeast_strain_1,F01,01,F,148.0,14.802800178527832,0.5,800.8,0.8,3.4600000381469727,148.86000061035156,0.0
Yeast_strain_1,F02,02,F,148.0,14.802800178527832,0.5,800.8,0.8,3.5799999237060547,148.2899932861328,0.0
Yeast_strain_2,F03,03,F,148.0,14.802800178527832,0.5,800.8,0.8,3.839999914169312,147.85000610351562,0.0
Yeast_strain_2,F04,04,F,148.0,14.802800178527832,0.5,800.8,0.8,3.559999942779541,147.88999938964844,0.0
Yeast_strain_3,F05,05,F,148.0,14.802800178527832,0.5,800.8,0.8,3.880000114440918,148.11000061035156,0.0
Yeast_strain_3,F06,06,F,148.0,14.802800178527832,0.5,800.8,0.8,3.4600000381469727,147.82000732421875,0.0
Yeast_strain_1,C01,01,C,150.0,15.002799987792969,0.6999998092651367,800.96,0.96,2.8399999141693115,148.36000061035156,0.0
Yeast_strain_1,C02,02,C,150.0,15.002799987792969,0.6999998092651367,800.96,0.96,2.7100000381469727,148.27000427246094,0.0
Yeast_strain_2,C03,03,C,150.0,15.002799987792969,0.6999998092651367,800.96,0.96,2.8499999046325684,148.3000030517578,0.0
Yeast_strain_2,C04,04,C,150.0,15.002799987792969,0.6999998092651367,800.96,0.96,2.880000114440918,148.02000427246094,0.0
Yeast_strain_3,C05,05,C,150.0,15.002799987792969,0.6999998092651367,800.96,0.96,2.970000028610229,147.86000061035156,0.0
Yeast_strain_3,C06,06,C,150.0,15.002799987792969,0.6999998092651367,800.96,0.96,2.9100000858306885,147.4600067138672,0.0
Yeast_strain_1,D01,01,D,150.0,15.002799987792969,0.6999998092651367,800.96,0.96,3.180000066757202,148.0,0.0
Yeast_strain_1,D02,02,D,150.0,15.002799987792969,0.6999998092651367,800.96,0.96,3.2799999713897705,148.0399932861328,0.0
Yeast_strain_2,D03,03,D,150.0,15.002799987792969,0.6999998092651367,800.96,0.96,3.1600000858306885,147.8000030517578,0.0
Yeast_strain_2,D04,04,D,150.0,15.002799987792969,0.6999998092651367,800.96,0.96,3.3499999046325684,147.6199951171875,0.0
Yeast_strain_3,D05,05,D,150.0,15.002799987792969,0.6999998092651367,800.96,0.96,3.4600000381469727,147.3300018310547,0.0
Yeast_strain_3,D06,06,D,150.0,15.002799987792969,0.6999998092651367,800.96,0.96,3.569999933242798,147.47999572753906,0.0
Yeast_strain_1,E01,01,E,150.0,15.002799987792969,0.6999998092651367,800.96,0.96,3.690000057220459,148.4499969482422,0.0
Yeast_strain_1,E02,02,E,150.0,15.002799987792969,0.6999998092651367,800.96,0.96,3.569999933242798,148.11000061035156,0.0
Yeast_strain_2,E03,03,E,150.0,15.002799987792969,0.6999998092651367,800.96,0.96,3.5,147.36000061035156,0.0
Yeast_strain_2,E04,04,E,150.0,15.002799987792969,0.6999998092651367,800.96,0.96,3.5899999141693115,148.67999267578125,0.0
Yeast_strain_3,E05,05,E,150.0,15.002799987792969,0.6999998092651367,800.96,0.96,3.7699999809265137,147.97999572753906,0.0
Yeast_strain_3,E06,06,E,150.0,15.002799987792969,0.6999998092651367,800.96,0.96,3.759999990463257,147.38999938964844,0.0
Yeast_strain_1,F01,01,F,150.0,15.002799987792969,0.6999998092651367,800.96,0.96,3.569999933242798,149.27000427246094,0.0
Yeast_strain_1,F02,02,F,150.0,15.002799987792969,0.6999998092651367,800.96,0.96,3.5199999809265137,148.14999389648438,0.0
Yeast_strain_2,F03,03,F,150.0,15.002799987792969,0.6999998092651367,800.96,0.96,3.9600000381469727,147.86000061035156,0.0
Yeast_strain_2,F04,04,F,150.0,15.002799987792969,0.6999998092651367,800.96,0.96,3.630000114440918,148.2899932861328,0.0
