Kc_s,mu_max,Yxs,Yxp,Yxco2,F0,mu0,s_f,sample_volume,timestamp,m_Glucose,m_Biomass,m_Product,m_CO2,v_Volume,v_Feed_accum,m_CO2_gas,c_Glucose,c_Biomass,c_Product,c_CO2,mu_true
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,34.83483483483484,36.207615982816584,6080.355341405616,4841.7237141925625,0.0,482.4532843436257,162.4532843436256,396.55534788633446,0.0750489573971432,12.602992950245737,10.035632197591305,0.0,0.10004350821946428
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,34.8948948948949,36.23373288109425,6116.997329352655,4871.825482749601,0.0,483.13142228962863,163.1314222896286,398.2113214290785,0.07499767394423949,12.661145698955645,10.083851428378072,0.0,0.09999793237350438
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,34.95495495495496,36.262912941595886,6153.85848077979,4902.107296351235,0.0,483.81364539163565,163.81364539163562,399.8771996998384,0.07495223271812006,12.719481022074909,10.13222207154388,0.0,0.09995753117779473
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,35.01501501501501,36.370766116041864,6190.899255677317,4932.536672474341,0.0,484.4999782589844,164.49997825898433,401.55119575381076,0.07506866408278816,12.777914413791855,10.180674703431473,0.0,0.10006101611974105
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,35.07507507507508,36.37288457705233,6228.220672198078,4963.196598566575,0.0,485.19044564922854,165.19044564922854,403.23787493795976,0.07496620121688945,12.83665152116538,10.229378263880218,0.0,0.0999699521235388
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,35.13513513513514,36.43132520218145,6265.736478334767,4994.016217720142,0.0,485.8850724690086,165.88507246900858,404.9333392366454,0.0749793053263746,12.895511373699213,10.278184082386431,0.0,0.09998160304247061
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,35.1951951951952,36.52382085242841,6303.460064799685,5025.006530542407,0.0,486.5838837751121,166.583883775112,406.6381938207802,0.07506171509229204,12.95451878902138,10.32711254543903,0.0,0.10005484281701729
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,35.25525525525525,36.51940575372092,6341.463586478776,5056.226813011519,0.0,487.2869047751882,167.28690477518813,408.3556996101123,0.07494436110604961,13.013819013676217,10.376282973055124,0.0,0.09995053097247977
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,35.31531531531531,36.609485229091995,6379.644951818924,5087.593195870496,0.0,487.9941608287346,167.99416082873455,410.08124274714174,0.07502033460179124,13.073199361616767,10.425520639899679,0.0,0.10001807356817527
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,35.37537537537538,36.66375213218004,6418.075976161445,5119.164676158097,0.0,488.7056774481021,168.70567744810208,411.81806880646343,0.07502215305463386,13.13280420574408,10.474944148161088,0.0,0.10001968966551349
