Kc_s,mu_max,Yxs,Yxp,Yxco2,F0,mu0,s_f,Ki_p,evaporation_rate_product,Yxo2,O2_flow_rate_in,kla,c_o2_sat,sample_volume,timestamp,m_Glucose,m_Biomass,m_Product,m_CO2,v_Volume,v_Feed_accum,m_CO2_gas,m_product_gas,m_O2_in,m_O2,m_O2_gas,c_Glucose,c_Biomass,c_Product,c_CO2,c_O2,mu_true,qt_O2
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827861336,0.1,100.0,2.0,0.1,0.01,10.0,748.0,0.0848,NaN,4.202101050525263,83.68418701523869,756.6425278821014,174.57650595794382,0.0,1004.8347286359709,4.834728635971258,11.59853108215592,36.25796042980327,42.02101050525259,85.1803906192654,39.07419460716639,0.08328154335274333,0.7530019677058912,0.1737365369476486,0.0,0.08477054802325044,0.09854003906625887,0.022030078608667902
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827861336,0.1,100.0,2.0,0.1,0.01,10.0,748.0,0.0848,NaN,4.232116058029015,83.77377254554723,758.8838168736446,175.89178281774085,0.0,1004.8770883376176,4.877088337617893,11.699822400656531,36.78392544231915,42.321160580290126,85.23984849398154,39.29247391757236,0.08336718342751288,0.755200636656048,0.17503810650984303,0.0,0.08482614389685711,0.09854616422849119,-0.01955563484911732
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827861336,0.1,100.0,2.0,0.1,0.01,10.0,748.0,0.0848,NaN,4.262131065532766,83.86355014895265,761.1318849433378,177.2086785288468,0.0,1004.919575372941,4.919575372941271,11.801420088289646,37.313840685689286,42.62131065532765,85.20173325748654,39.608258548407946,0.08345299684089606,0.7574057701690905,0.17634115492583768,0.0,0.08478462888521887,0.09855229889415075,0.011497593856284627
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827861336,0.1,100.0,2.0,0.1,0.01,10.0,748.0,0.0848,NaN,4.292146073036519,83.95351904586542,763.3867532026499,178.52720555685636,0.0,1004.9621901247074,4.962190124707672,11.903325099152902,37.84771103760708,42.92146073036518,85.21246818583933,39.875125012499566,0.08353898273073089,0.7596173873048099,0.17764569384914136,0.0,0.0847917155721701,0.09855844161566046,0.006196752016760565
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827861336,0.1,100.0,2.0,0.1,0.01,10.0,748.0,0.0848,NaN,4.32216108054027,84.04367850641742,765.6484427983675,179.8473763589753,0.0,1005.0049329768335,5.004932976833968,12.005538388940048,38.38554141316854,43.22161080540269,85.24517620696756,40.11995017045167,0.08362514028411712,0.7618355071457311,0.17895173491961455,0.0,0.0848206545160635,0.09856459098854327,-0.01544957801550273
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827861336,0.1,100.0,2.0,0.1,0.01,10.0,748.0,0.0848,NaN,4.352176088044022,84.13402784946825,767.9169749133197,181.1692033846403,0.0,1005.0478043143906,5.047804314391094,12.108060914973732,38.927336764848334,43.52176088044021,85.19775650572203,40.444834625585216,0.08371146873641659,0.7640601487977644,0.18025928976406028,0.0,0.08476985486659615,0.09857074565038891,0.022548559786081834
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827861336,0.1,100.0,2.0,0.1,0.01,10.0,748.0,0.0848,NaN,4.382191095547774,84.22456644163059,770.192370767092,182.4926990761276,0.0,1005.090804523607,5.090804523607508,12.21089363623773,39.473102082477105,43.82191095547775,85.25952122744309,40.66046602036396,0.08379796737027294,0.7662913313908467,0.18156836999680392,0.0,0.08482768008991427,0.09857690427984203,-0.02070470725587592
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827861336,0.1,100.0,2.0,0.1,0.01,10.0,748.0,0.0848,NaN,4.412206103051526,84.31529369631438,772.4746516167314,183.81787586915274,0.0,1005.1339339918721,5.1339339918726745,12.31403751340883,40.02284239322105,44.12206103051526,85.21853165006024,40.978782864287936,0.08388463551464992,0.7685290740795723,0.1828789872202635,0.0,0.0847832599896576,0.09858306559561122,0.012521527736111315
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827861336,0.1,100.0,2.0,0.1,0.01,10.0,748.0,0.0848,NaN,4.442221110555277,84.4062090727899,774.7638387574408,185.14474619346046,0.0,1005.17719310774,5.177193107740553,12.417493508888219,40.576562761563004,44.42221110555277,85.23161167593088,41.24296104204772,0.08397147254388891,0.7707733960438135,0.18419115302551012,0.0,0.08479262388795099,0.09858922835549866,0.00551733181266123
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827861336,0.1,100.0,2.0,0.1,0.01,10.0,748.0,0.0848,NaN,4.47223611805903,84.49731207526881,777.0599535232661,186.47332247340537,0.0,1005.2205822609325,5.220582260933113,12.52126258683253,41.134268289285615,44.72236118059028,85.26293959435216,41.48882205100571,0.08405847787678429,0.7730243164893325,0.18550487899281903,0.0,0.0848201291328313,0.09859539135544985,-0.015056591357808846
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827861336,0.1,100.0,2.0,0.1,0.01,10.0,748.0,0.0848,NaN,4.502251125562782,84.58860225200345,779.3630172877719,187.80361712852292,0.0,1005.2641018423432,5.264101842343814,12.62534571318436,41.6959641154557,45.02251125562779,85.21546237052577,41.81341871222456,0.08414565097567722,0.7752818546483821,0.18682017669221057,0.0,0.08476922851850749,0.09860155342862341,0.023017068156398535
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827861336,0.1,100.0,2.0,0.1,0.01,10.0,748.0,0.0848,NaN,4.532266133066533,84.68007919440389,781.673051464709,189.13564257409135,0.0,1005.3077522440404,5.307752244041158,12.72974385570249,42.261655416410875,45.322661330665305,85.27947753708989,42.026453278928585,0.08423299134556722,0.777546029780298,0.18813705768398203,0.0,0.0848292250275895,0.09860771344448031,-0.021860320636941488
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827861336,0.1,100.0,2.0,0.1,0.01,10.0,748.0,0.0848,NaN,4.562281140570286,84.77174253617243,783.9900775086742,190.4694112216853,0.0,1005.3515338592715,5.351533859272203,12.834457983991634,42.83134740574753,45.62281140570284,85.23555567143306,42.347354959183285,0.08432049853324113,0.7798168611720809,0.1894555335192308,0.0,0.08478184276920224,0.09861387030789226,0.013581608636724973
